tweet_id,tweet,true_sentiment,sentiment_zero_shot_raw,sentiment_zero_shot_pred,sentiment_zero_shot_correct,sentiment_few_shot_raw,sentiment_few_shot_pred,sentiment_few_shot_correct,weak_topic_label,topic_zero_shot_raw,topic_zero_shot_pred,topic_zero_shot_correct,topic_system_role_raw,topic_system_role_pred,topic_system_role_correct,entity_zero_shot_raw,entity_structured_raw,entity_structured_json_valid,entity_structured_players,entity_structured_teams,entity_structured_venues
27,"So here are my #WorldCup2022 hot takes; I’m no longer backing #Argentina, but instead Uruguay, #England to reach the semis, @BukayoSaka87 to be the breakout star, #Belgium to not get out the group, Nunez, golden boot winner #WorldCup #QatarWorldCup2022",neutral,Positive,positive,0,"Based on the content of the tweet, I would classify its sentiment as:

positive

Although the tweet mentions some negative predictions (e.g., Argentina not reaching the semis), it also expresses optimism and excitement about other teams and players, which outweighs the negative tone. The use of hashtags like ""#WorldCup #QatarWorldCup2022"" and ""#hot takes"" suggests a lighthearted and enthusiastic tone, further indicating a positive sentiment overall.",positive,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player names:
	* BukayoSaka
	* Nunez
2. Team/country names:
	* Argentina
	* Uruguay
	* England
	* Belgium
3. Venue:
	* Qatar World Cup (note: ""QatarWorldCup2022"" is a hashtag, but in this context, it refers to the venue)","{""players"": [""Nunez"", ""BukayoSaka87""], ""teams"": [""Argentina"", ""Uruguay"", ""England"", ""Belgium""], ""venues"": []}",1,"[""Nunez"", ""BukayoSaka87""]","[""Argentina"", ""Uruguay"", ""England"", ""Belgium""]",[]
28,The long wait is over ⌛️ The FIFA World Cup 2022 begins today with the opening clash between the host Qatar and Ecuador 🤩 #fifaworldcup #cristianoronaldo #lionelmessi #BetBarter #WorldCup2022,positive,positive,positive,1,"Positive.

The tweet expresses excitement and enthusiasm for the start of the FIFA World Cup, using emojis to convey a sense of celebration. The language used is also positive, with words like ""over"" and ""began"", which imply a sense of relief or accomplishment.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player Names:
	* Cristiano Ronaldo
	* Lionel Messi
2. Team/Country Names:
	* Qatar
	* Ecuador
3. Venue: 
	* (Implicitly mentioned, as ""FIFA World Cup 2022"" is referring to a specific tournament held in Qatar)
	* Note: The venue is not explicitly mentioned, but it can be inferred that the opening clash took place at the Lusail Iconic Stadium in Lusail, Qatar.","{""players"": [""cristianoronaldo"", ""lionelmessi""], ""teams"": [""qatar"", ""ecuador""], ""venues"": []}",1,"[""cristianoronaldo"", ""lionelmessi""]","[""qatar"", ""ecuador""]",[]
29,"My World Cup prediction (thread).. Group winners GA: Netherlands🇳🇱, Senegal🇸🇳 GB: England🏴󠁧󠁢󠁥󠁮󠁧󠁿, USA🇺🇸 GC: Argentina🇦🇷, Mexico🇲🇽 GD: France🇫🇷, Denmark🇩🇰 GE: Spain🇪🇸, Germany🇩🇪 GF: Belgium🇧🇪, Croatia🇭🇷 GG: Brazil🇧🇷, Serbia🇷🇸 GH: Uruguay🇺🇾 , Portugal🇵🇹 #WorldCup2022",neutral,Neutral,neutral,1,Sentiment: positive,positive,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:** None mentioned in this tweet.

**Team/Country Names:**

1. Netherlands
2. Senegal
3. England
4. USA
5. Argentina
6. Mexico
7. France
8. Denmark
9. Spain
10. Germany
11. Belgium
12. Croatia
13. Brazil
14. Serbia
15. Uruguay
16. Portugal

**Venues:** None mentioned in this tweet.","{""players"": [], ""teams"": [""Netherlands"", ""Senegal"", ""England"", ""USA"", ""Argentina"", ""Mexico"", ""France"", ""Denmark"", ""Spain"", ""Germany"", ""Belgium"", ""Croatia"", ""Brazil"", ""Serbia"", ""Uruguay"", ""Portugal""], ""venues"": []}",1,[],"[""Netherlands"", ""Senegal"", ""England"", ""USA"", ""Argentina"", ""Mexico"", ""France"", ""Denmark"", ""Spain"", ""Germany"", ""Belgium"", ""Croatia"", ""Brazil"", ""Serbia"", ""Uruguay"", ""Portugal""]",[]
30,My Sweepstake Picks: Family: 1. Portugal 🇵🇹 2. Spain 🇪🇸 3. Netherlands 🇳🇱 4. Morocco 🇲🇦 5. Costa Rica 🇨🇷 6. Senegal 🇸🇳 Friends: 1. Portugal 🇵🇹 2. Switzerland 🇨🇭 3. Senegal 🇸🇳 4. Cameroon 🇨🇲 5. Iran 🇮🇷 Looks like I want a Portugal v Senegal final 😂 #WorldCup2022,neutral,positive,positive,0,"The sentiment of the tweet is positive, as it expresses excitement and optimism about the World Cup and the user's sweepstake picks, with a humorous tone.",positive,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:** None mentioned in this tweet.

**Team/Country Names:**

1. Portugal
2. Spain
3. Netherlands
4. Morocco
5. Costa Rica
6. Senegal
7. Switzerland
8. Cameroon
9. Iran

**Venues:** None mentioned in this tweet.","{""players"": [""Portugal"", ""Spain"", ""Netherlands"", ""Morocco"", ""Costa Rica"", ""Senegal"", ""Switzerland"", ""Cameroon"", ""Iran""], 
 ""teams"": [""Portugal"", ""Spain"", ""Netherlands"", ""Morocco"", ""Costa Rica"", ""Senegal"", ""Switzerland"", ""Cameroon"", ""Iran""], 
 ""venues"": []}",1,"[""Portugal"", ""Spain"", ""Netherlands"", ""Morocco"", ""Costa Rica"", ""Senegal"", ""Switzerland"", ""Cameroon"", ""Iran""]","[""Portugal"", ""Spain"", ""Netherlands"", ""Morocco"", ""Costa Rica"", ""Senegal"", ""Switzerland"", ""Cameroon"", ""Iran""]",[]
31,"Supporting mainly England for saka/white &amp; Brazil for martinelli/jesus. Also Portugal on the side for Ronaldo. Neutral but excited to watch france, Germany, Argentina, japan, etc. Let's get this world cup rolling boys!!!! Let's have fun and banter #WorldCup2022",positive,Positive,positive,1,"The sentiment of the tweet is: positive

Although the user mentions some teams they are not supporting (England, Brazil, Portugal), their tone is overall enthusiastic and excited for the World Cup. The use of ""Let's get this world cup rolling boys!!!!"" and ""#WorldCup2022"" also convey a sense of positivity and excitement.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:**

1. Saka (presumably Bukayo Saka)
2. Martinelli (presumably Gabriel Martinelli)
3. Jesus (presumably Vinicius Junior, but it's also possible that the user is referring to Gabriel Jesus)
4. Ronaldo (presumably Cristiano Ronaldo)

**Team/Country Names:**

1. England
2. Brazil
3. Portugal
4. France
5. Germany
6. Argentina
7. Japan

**Venue:**
None mentioned in this tweet, as it appears to be a general statement about the World Cup rather than a specific reference to a particular venue.","{""players"": [""Saka"", ""Martinelli"", ""Jesus"", ""Ronaldo""], ""teams"": [""England"", ""Brazil"", ""Portugal"", ""France"", ""Germany"", ""Argentina"", ""Japan""], ""venues"": []}",1,"[""Saka"", ""Martinelli"", ""Jesus"", ""Ronaldo""]","[""England"", ""Brazil"", ""Portugal"", ""France"", ""Germany"", ""Argentina"", ""Japan""]",[]
32,My world cup predictions #WorldCup2022 #Qatar2022 #WorldCup Winners: Brazil 🔥 Player of the Tournament: Neymar 💫 YPOT: Gavi ❌ Under-performers: France 🐎 Dark horse: Denmark/Uruguay 🎯Most assists: Neymar ⚽️ Top Scorer: lautaro martinez 🌟Breakout star: Enzo Fernandez,positive,positive,positive,1,"Based on the content of the tweet, I would classify its sentiment as:

positive

Although the tweet mentions some negative teams (France and Uruguay) and under-performers (France), it also expresses enthusiasm and excitement for Brazil's predicted performance, Neymar being the player of the tournament, and Lautaro Martinez being the top scorer. The overall tone is optimistic and celebratory.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:**

1. Neymar
2. Gavi
3. Lautaro Martinez
4. Enzo Fernandez

**Team/Country Names:**

1. Brazil
2. France
3. Denmark
4. Uruguay

**Venue:**

 None mentioned in this tweet (it's a prediction tweet, not related to a specific match or venue)","{""players"": [""Neymar"", ""Gavi"", ""Lautaro Martinez"", ""Enzo Fernandez""], ""teams"": [""Brazil"", ""France"", ""Denmark"", ""Uruguay""], ""venues"": []}",1,"[""Neymar"", ""Gavi"", ""Lautaro Martinez"", ""Enzo Fernandez""]","[""Brazil"", ""France"", ""Denmark"", ""Uruguay""]",[]
33,#WorldCup #Worldcup2022 #worldcup2022qatar predictions: 🏅 Winner: Uruguay🇺🇾 🔥 Player of the Tournament: @Darwinn99 💫 Young Player of the Tournament: Darwin Nunez 😬 Big team that doesn't make it out of the group stage: England 🐎 Dark horse: Netherlands 🇳🇱,neutral,Neutral,neutral,1,"Based on the tweet, I would classify its sentiment as:

Neutral

The tweet appears to be a prediction or forecast for the World Cup, listing teams and players without expressing any emotions or opinions. It's more of an informative or analytical post rather than a subjective expression of sentiment.",neutral,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Players:
	* Darwin Nunez
2. Teams/Countries:
	* Uruguay (🇺🇾)
	* England
	* Netherlands
3. Venue:
	* None mentioned directly, but implied as the 2022 FIFA World Cup in Qatar","{""players"": [""Darwin Nunez""], ""teams"": [""Uruguay"", ""England"", ""Netherlands""], ""venues"": []}",1,"[""Darwin Nunez""]","[""Uruguay"", ""England"", ""Netherlands""]",[]
34,Belgium Brazil Cameroon Croatia Germany My #WorldCup2022 teams. #FIFAWorldCup,neutral,Neutral,neutral,1,"Based on the tweet, I would classify its sentiment as:

Neutral

The tweet appears to be a statement of fact or an announcement about the user's team selection for the World Cup, without expressing any emotion or opinion. It does not contain language that suggests excitement, disappointment, or any other emotional tone.",neutral,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player Names:
	* None (no specific player names were mentioned)
2. Team/Country Names:
	* Belgium
	* Brazil
	* Cameroon
	* Croatia
	* Germany
3. Venue:
	* None (the tweet does not mention a specific venue)","{""players"": [], ""teams"": [""Belgium"", ""Brazil"", ""Cameroon"", ""Croatia"", ""Germany""], ""venues"": []}",1,[],"[""Belgium"", ""Brazil"", ""Cameroon"", ""Croatia"", ""Germany""]",[]
35,Last floor check for @FIFAPlusCollect before the #WorldCup starts! ICONICS France $7500 ($2700 avg; 2 sales) Brazil M $1999 ($2468; 27) Brazil W $1950 (9 minted) Colombia $1950 (4 minted) USA $1555 ($1961; 25) Argentina N/A ($2700; 2) #algofam #NFT #WorldCup2022,neutral,Neutral,neutral,1,"I'd classify the sentiment of this tweet as neutral. The tweet appears to be a transactional update about FIFA World Cup collectibles, and it doesn't express any emotions or opinions about the World Cup itself. It's simply a factual announcement about sales figures.",neutral,1,Match Play,Logistics/Hosting,Logistics/Hosting,0,'Match Play',Match Play,1,"Here are the extracted named entities:

**Player Names:** None mentioned in this tweet.

**Team/Country Names:**

* France
* Brazil (mentioned twice)
* Colombia
* USA
* Argentina

**Venues:** None mentioned in this tweet.","{""players"": [], ""teams"": [""France"", ""Brazil"", ""Colombia"", ""USA"", ""Argentina""], ""venues"": []}",1,[],"[""France"", ""Brazil"", ""Colombia"", ""USA"", ""Argentina""]",[]
36,Two kings. One Champ. Let's Go!!! Sign up Preciser to check opening Game prediction! Check more! Win more! #FIFAWorldCup #WorldCup2022 #Qatar #Ecuador #Messi,positive,positive,positive,1,"The sentiment of the tweet is positive. The use of enthusiastic language, such as ""What a goal!"", and the celebratory tone convey a strong sense of excitement and admiration. Additionally, the hashtags ""#FIFAWorldCup"", ""#WorldCup2022"", and ""#Messi"" further reinforce the positive sentiment.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player Names:
	* Messi (Lionel Messi)
2. Team/Country Names:
	* Qatar
	* Ecuador
3. Venue: 
	* None mentioned directly, but implied as the FIFA World Cup 2022 in Qatar.","{""players"": [], ""teams"": [""Qatar"", ""Ecuador""], ""venues"": []}",1,[],"[""Qatar"", ""Ecuador""]",[]
37,Late FIFA 2022 World Cup predictions #Messi and friends take home the trophy after ending runs from England and Germany. Mexico surprises France in the 1st round and Croatia sends Spain packing after penalties. #WorldCup #WorldCup2022 #QatarWorldCup2022,neutral,Neutral,neutral,1,"The sentiment of the tweet is neutral, as it appears to be a prediction or analysis of the World Cup without expressing any emotions or opinions about the outcome.",neutral,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:**

1. Messi (presumably referring to Lionel Messi)

**Team/Country Names:**

1. England
2. Germany
3. Mexico
4. France
5. Croatia
6. Spain

**Venue:**

1. Qatar","{""players"": [""Messi""], ""teams"": [""England"", ""Germany"", ""Mexico"", ""France"", ""Croatia"", ""Spain""], ""venues"": []}",1,"[""Messi""]","[""England"", ""Germany"", ""Mexico"", ""France"", ""Croatia"", ""Spain""]",[]
38,#WorldCup2022 #WorldcupQatar2022 Heart says Argentina but I think it's Brazil for the win. Argentina v Portugal 🔥 final will be great marketing.,positive,Neutral,neutral,0,"Based on the tweet, I would classify its sentiment as:

Neutral

The tweet is a statement of opinion about who might win the World Cup, and does not express any strong emotions or negative feelings towards the event itself. The use of hashtags like ""#WorldCup2022"" also suggests that the tweet is more of an observation or prediction rather than an emotional response to the match.",negative,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player names:
	* None mentioned directly, but teams are implied.
2. Team/country names:
	* Argentina
	* Brazil
	* Portugal
3. Venue:
	* Not explicitly mentioned, but implied as the World Cup final venue (likely Lusail Iconic Stadium in Qatar).","{""players"": [""Argentina"", ""Brazil""], ""teams"": [""Argentina"", ""Portugal"", ""Brazil""], ""venues"": []}",1,"[""Argentina"", ""Brazil""]","[""Argentina"", ""Portugal"", ""Brazil""]",[]
39,"Enjoy #WorldCup2022 with TopGoal Predict Match Results, Split Jackpot 🎲Predict Winning team, draw 2 with 50TMT 🎲Predict Score, draw 2 with 50TMT 🎲Predict Winning team+Score, draw 1 with 100TMT 1⃣Follow + Like + RT 2⃣Comment ⚒️Round1: Qatar vs Ecuador ⏰DDL: End of match",positive,Neutral,neutral,0,"Based on the tweet's content, I would classify its sentiment as neutral. The tweet appears to be a promotional message for a prediction game related to the World Cup, and it doesn't express any emotions or opinions about the event itself. It simply provides information and invites users to participate in the game.",neutral,0,Match Play,Match Play,Match Play,1,'Match Play',Match Play,1,"Here are the extracted named entities:

**Player Names:** None mentioned in this tweet.

**Team/Country Names:**

* Qatar
* Ecuador

**Venues:** None mentioned in this tweet, but it's likely referring to a football stadium or arena where the World Cup matches take place. However, no specific venue is mentioned.","{""players"": [], ""teams"": [""Qatar"", ""Ecuador""], ""venues"": []}",1,[],"[""Qatar"", ""Ecuador""]",[]
40,#WorldCup2022 predictions Winner: Brazil Golden Boot: Harry Kane Golden Ball: Messi Young Player: Musiala Dark Horses: Uruguay Disappointing Team: England,neutral,Neutral,neutral,1,"Based on the tweet, I would classify its sentiment as:

Neutral

The tweet appears to be a list of predictions for the World Cup 2022, with no emotional language or tone. It's simply stating facts and opinions without expressing any strong feelings.",neutral,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:**

1. Harry Kane
2. Messi (presumably referring to Lionel Messi)
3. Musiala (presumably referring to Jamal Musiala)

**Team/Country Names:**

1. Brazil
2. England
3. Uruguay

**Venue:**
None mentioned in the tweet, as it appears to be a prediction or opinion rather than a specific event or match report.","{""players"": [""Harry Kane"", ""Messi"", ""Musiala""], ""teams"": [""Brazil"", ""Uruguay"", ""England""], ""venues"": []}",1,"[""Harry Kane"", ""Messi"", ""Musiala""]","[""Brazil"", ""Uruguay"", ""England""]",[]
41,The World Cup starts today ⚽️ My teams to watch to win it all: England USA Argentina Portugal #WorldCup2022,positive,Positive,positive,1,"Based on the tweet, I would classify its sentiment as:

Positive

Although the tweet mentions multiple teams (England, USA, Argentina, and Portugal), which could be seen as neutral or objective, the overall tone of the message is enthusiastic and optimistic, with a hint of competitiveness (""win it all""). The use of hashtags like #WorldCup2022 also suggests excitement and anticipation.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player Names:
	* None explicitly mentioned, but implied as part of the teams
2. Team/Country Names:
	* Teams:
		+ England
		+ USA (United States)
		+ Argentina
		+ Portugal
	* Country:
		+ England (note: England is a country, not just a team)
3. Venue:
	* None mentioned","{""players"": [""Lionel Messi"", ""Kylian Mbappe""], ""teams"": [""England"", ""USA"", ""Argentina"", ""Portugal""], ""venues"": []}",1,"[""Lionel Messi"", ""Kylian Mbappe""]","[""England"", ""USA"", ""Argentina"", ""Portugal""]",[]
42,"Original pick was France to win the World Cup, given the Benzema news I've now changed to the Samba Boys of Brazil. Still sticking with Mbappe as the tournaments top Goal Scorer #WorldCup2022 ⚽️",positive,Positive,positive,1,"Positive.

The tweet expresses enthusiasm and excitement about a recent development in the World Cup, specifically mentioning a favorite team (Brazil) and a player (Mbappe), which suggests a positive sentiment.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player Names:
	* Benzema
	* Mbappe
2. Team/Country Names:
	* France
	* Brazil
3. Venue: None mentioned in this tweet (it's likely referring to a general prediction for the World Cup, but no specific venue is specified)","{""players"": [""Benzema"", ""Mbappe""], ""teams"": [""France"", ""Brazil""], ""venues"": []}",1,"[""Benzema"", ""Mbappe""]","[""France"", ""Brazil""]",[]
43,My #WorldCup2022 rooting interests 1. USA 🇺🇸 2. South Korea 🇰🇷 3. Brazil 🇧🇷 4. Argentina 🇦🇷 5. Uruguay 🇺🇾 Will update after the group stages,neutral,Neutral,neutral,1,"Based on the tweet, I would classify its sentiment as neutral.

The tweet is simply stating the user's rooting interests for the World Cup without expressing any emotions or opinions about the tournament itself. It's a factual statement with no positive or negative tone.",positive,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player names: None mentioned in this tweet.
2. Team/country names:
   - USA
   - South Korea
   - Brazil
   - Argentina
   - Uruguay
3. Venue: None mentioned in this tweet (it's likely referring to the FIFA World Cup, but no specific venue is specified).","{""players"": [""USA"", ""South Korea"", ""Brazil"", ""Argentina"", ""Uruguay""], ""teams"": [""USA"", ""South Korea"", ""Brazil"", ""Argentina"", ""Uruguay""], ""venues"": []}",1,"[""USA"", ""South Korea"", ""Brazil"", ""Argentina"", ""Uruguay""]","[""USA"", ""South Korea"", ""Brazil"", ""Argentina"", ""Uruguay""]",[]
44,Cameroon 🇨🇲 USA 🇺🇸 Brazil 🇧🇷 England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Japan 🇯🇵 Ghana 🇬🇭 Switzerland 🇨🇭 France 🇫🇷 (Cuz of Saliba) #WorldCup2022,neutral,Neutral,neutral,1,"Based on the tweet, I would classify its sentiment as:

positive

Although the tweet mentions several teams and a player's name (Saliba), which could be perceived as negative by some fans, the overall tone is celebratory and enthusiastic, with the use of emojis and hashtags (#WorldCup2022) suggesting excitement and support for Cameroon.",positive,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player: Cuz Of Saliba
2. Team/Country:
	* Cameroon
	* USA
	* Brazil
	* England
	* Japan
	* Ghana
	* Switzerland
	* France","{""players"": [], ""teams"": [""Cameroon"", ""USA"", ""Brazil"", ""England"", ""Japan"", ""Ghana"", ""Switzerland"", ""France""], ""venues"": []}",1,[],"[""Cameroon"", ""USA"", ""Brazil"", ""England"", ""Japan"", ""Ghana"", ""Switzerland"", ""France""]",[]
45,"Ecuador arrive as South America’s fourth-placed qualifier but are not close to the levels of Brazil, Argentina or Uruguay and, arguably, are not even the fourth-best CONMEBOL team. #WorldCup2022 #FIFAWorldCupQatar2022",negative,Negative,negative,1,"Negative.

The tweet expresses a critical opinion about Ecuador's chances in the World Cup, comparing them unfavorably to other South American teams and implying that they are not strong enough to compete at a high level. The tone is also somewhat dismissive and condescending, which contributes to the negative sentiment.",negative,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player names:
	* None mentioned in this tweet.
2. Team/country names:
	* Ecuador
	* Brazil
	* Argentina
	* Uruguay
3. Venue:
	* Qatar (implied, as it's referring to the 2022 FIFA World Cup)","{""players"": [], ""teams"": [""Ecuador"", ""Brazil"", ""Argentina"", ""Uruguay""], ""venues"": []}",1,[],"[""Ecuador"", ""Brazil"", ""Argentina"", ""Uruguay""]",[]
46,"FIFA 2022 Brazil, Argentina, Germany, Portugal or current champion France ? Or is it going to be a great year for ENGLAND with 2 World cups ? #FIFAWorldCup #FIFAWorldCup2022 #FIFA #WorldCup2022 #Brazilian #England #Argentina #Portugal #Germany #France",positive,Neutral,neutral,0,"The sentiment of the tweet is neutral. The tweet appears to be a question about which teams will participate in the FIFA World Cup, and it does not express any emotion or opinion about the tournament itself.",neutral,0,Match Play,Match Play,Match Play,1,'Match Play',Match Play,1,"Here are the extracted named entities:

1. Player names:
	* None mentioned in this tweet.
2. Team/country names:
	* Brazil
	* Argentina
	* Germany
	* Portugal
	* France
	* England
3. Venues:
	* None mentioned in this tweet (note: FIFA World Cup is typically held at a single venue, but the specific location is not specified in this tweet).","{""players"": [""England""], ""teams"": [""England"", ""Brazil"", ""Argentina"", ""Portugal"", ""Germany"", ""France""], ""venues"": []}",1,"[""England""]","[""England"", ""Brazil"", ""Argentina"", ""Portugal"", ""Germany"", ""France""]",[]
47,I'm predicting another Germany v Brazil World Cup final with Germany to win. As much as I wish the USA would win one... they aren't ready yet. I'd love a good turn of events throwing away all tournament brackets. #WorldCup2022 #Germany #Brazil #QatarWorldCup2022 #sports,neutral,Neutral,neutral,1,"The sentiment of this tweet is neutral, as it expresses the author's opinion and prediction about the World Cup final, but does not contain any emotional language or strong positive or negative tone. The use of phrases like ""I'd love a good turn of events"" also suggests a neutral or even slightly sarcastic attitude.",positive,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player names:
	* None mentioned in this tweet.
2. Team/country names:
	* Germany
	* Brazil
	* USA
3. Venue:
	* Qatar (referring to the 2022 FIFA World Cup, which was held in Qatar)","{""players"": [""Germany"", ""Brazil""], ""teams"": [""Germany"", ""Brazil"", ""USA""], ""venues"": [""Qatar""]}",1,"[""Germany"", ""Brazil""]","[""Germany"", ""Brazil"", ""USA""]","[""Qatar""]"
48,Most Goals scored by Countries at FIFA World Cup from 1930-2018. Brazil 🇧🇷 has scored the most goals in the history of the FIFA World Cups followed by Germany 🇩🇪 and Argentina 🇦🇷 #WorldCup2022 #Qatar2022 #football #FIFAWorldCup #FIFAWorldCup2022 #WakaWaka #brazil #Argentina,positive,positive,positive,1,"The sentiment of the tweet is: positive

Although the tweet mentions a neutral topic (the FIFA World Cup), the tone and language used (""Most Goals scored by Countries... Brazil has scored the most goals in the history of the FIFA World Cups"") convey admiration and excitement, indicating a positive sentiment.",positive,1,Match Play,Match Play,Match Play,1,'Match Play',Match Play,1,"Here are the extracted named entities:

1. Player names:
	* None mentioned in this tweet.
2. Team/country names:
	* Brazil
	* Germany
	* Argentina
3. Venues:
	* None mentioned in this tweet (the venue is implied to be the FIFA World Cup, but no specific stadium or location is mentioned).","{""players"": [], ""teams"": [""Brazil"", ""Germany"", ""Argentina""], ""venues"": []}",1,[],"[""Brazil"", ""Germany"", ""Argentina""]",[]
49,VAR strikes already. Summat dodgy going on⚽ #QatarWorldCup2022 #EcuadorvsQatar #WorldCup2022,negative,Negative,negative,1,"Based on the tweet, I would classify its sentiment as:

Negative

The use of the word ""disagree"" is implied by the phrase ""strikes already"", which suggests that the user has a negative opinion about the VAR system. The tone also seems to be critical and frustrated.",negative,1,Referees,Match Play,Match Play,0,Referees,Referees,1,"Here are the extracted named entities:

1. Player Names:
	* None mentioned in this tweet.
2. Team/Country Names:
	* Ecuador
	* Qatar
3. Venues:
	* None mentioned in this tweet, but implied as the World Cup venue (Qatar) and possibly a specific stadium or location within it.","{""players"": [], ""teams"": [""Ecuador"", ""Qatar""], ""venues"": []}",1,[],"[""Ecuador"", ""Qatar""]",[]
50,So now as you’ve seen #QATAR control #VAR 🤣🤣🤣🤣 Offside? No Foul? No Hang on we’ve conceded early let’s start again 🤣🤣🤣🤣🤣 #WorldCup2022,negative,negative,negative,1,"Based on the tweet, I would classify its sentiment as:

Negative

Although the tweet starts with a lighthearted tone and includes multiple laughing emojis (🤣), it quickly turns negative towards the referee's performance. The use of strong language (""disgrace"") and frustration with the VAR decision convey a sense of disappointment and discontent, outweighing the initial playful tone.",negative,1,Referees,Match Play,Match Play,0,Match Play,Match Play,0,"Here are the extracted named entities:

1. Player names:
	* None mentioned in this tweet.
2. Team/country names:
	* Qatar
3. Venue:
	* None mentioned in this tweet, but it appears to be referring to a football match during the World Cup 2022, which is likely held at one of the stadiums in Qatar.","{""players"": [], ""teams"": [""QATAR""], ""venues"": []}",1,[],"[""QATAR""]",[]
51,Good to see VAR as useless at #WorldCup2022 as premier. That goal should have stood for Ecuador. Wonder if anyone allowed to score against Qatar 🤷‍♂️,negative,Negative,negative,1,"Based on the tweet, I would classify its sentiment as:

Negative

Although the tone is somewhat sarcastic and dismissive (""useless"", ""should have stood""), the overall sentiment is negative towards the referee's decision. The mention of VAR also implies a sense of frustration and disappointment with the match outcome.",negative,1,Referees,Match Play,Match Play,0,Referees,Referees,1,"Here are the extracted named entities:

1. Player names:
	* None mentioned directly, but a player is implied (the scorer of the goal)
2. Team/country names:
	* Ecuador
	* Qatar
3. Venue:
	* None mentioned explicitly, but it's implied that the tweet refers to a World Cup match played at a specific venue in Qatar","{""players"": [], ""teams"": [""Ecuador"", ""Qatar""], ""venues"": []}",1,[],"[""Ecuador"", ""Qatar""]",[]
52,VAR officials increased to SEVEN per game for this World Cup. They've disallowed the Ecuador's opening 'goal'. Nothing to see here. #WorldCup2022 #Qatar2022,negative,negative,negative,1,"Based on the tweet, I would classify its sentiment as:

Negative

The tone of the tweet is critical and dismissive towards the VAR officials' decisions, using words like ""disgrace"" and implying that their actions are unfair or unjust. The hashtags #WorldCup2022 and #Qatar2022 also suggest a negative opinion about the tournament's refereeing.",negative,1,Referees,Match Play,Match Play,0,Referees,Referees,1,"Here are the extracted named entities:

1. Player names:
	* None mentioned in this tweet.
2. Team/country names:
	* Ecuador
3. Venue:
	* Qatar (referring to the host country of the World Cup)","{""players"": [], ""teams"": [""Ecuador""], ""venues"": []}",1,[],"[""Ecuador""]",[]
53,Already this World Cup with some BS. That was a legit gol. No offsides and no foul against the goalie. 🤦🏽‍♂️#EcuadorvsQatar #WorldCup2022,negative,Negative,negative,1,"Based on the tweet, I would classify its sentiment as:

Negative

Although the user mentions that the goal was legitimate, the tone of the tweet is overall negative and critical towards the referee's performance. The use of ""disgrace"" also reinforces this classification.",negative,1,Referees,Match Play,Match Play,0,Match Play,Match Play,0,"Here are the extracted named entities:

1. Player names:
	* None mentioned in this tweet.
2. Team/country names:
	* Ecuador
	* Qatar
3. Venue: 
	* None mentioned in this tweet, but implied as it's a World Cup match.","{""players"": [], ""teams"": [""Ecuador"", ""Qatar""], ""venues"": []}",1,[],"[""Ecuador"", ""Qatar""]",[]
